,Time_index,Frequency,Bandwidth,Amplitude
110,"[110, 110, 110, 110]","[17, 159, 314, 498]","[13.776552695556534, 25.202229055673627, 46.23955972014619, 48.13002872134393]","[37.39479987707084, 0.8093515245562695, 0.830471194916619, 0.9474948713355635]"
111,"[111, 111, 111]","[17, 160, 314]","[13.631213349235532, 24.681686129567055, 49.703197208130234]","[36.189137728387735, 0.8087139661355867, 0.7969308201639168]"
112,"[112, 112, 112]","[17, 160, 314]","[13.028249768947646, 24.082823304389876, 100.919526263607]","[35.34077971752786, 0.8342768454767233, 0.7153198071485398]"
113,"[113, 113, 113, 113]","[16, 160, 315, 657]","[11.82536979683681, 23.964375048340628, 163.98411543957852, 36.098787817063]","[33.980385528906965, 0.8214348166583754, 0.6452261728534174, 0.5791095225296699]"
114,"[114, 114, 114]","[16, 160, 655]","[11.693909304864183, 23.864829808036006, 57.990457070022785]","[34.203901559333104, 0.8195712089479908, 0.6090955294598912]"
115,"[115, 115, 115, 115]","[16, 161, 561, 643]","[11.140414924473887, 23.232648669016072, 27.484384946355817, 52.86443794351692]","[34.82253847624629, 0.7749205607820175, 0.7395457169975893, 0.7226920860389724]"
116,"[116, 116, 116, 116]","[16, 161, 560, 643]","[8.195227250322406, 22.486592892001028, 27.26223099337028, 47.6451562999157]","[33.272779390207724, 0.7668923084812209, 1.4294795508686122, 0.8817116648809912]"
117,"[117, 117, 117, 117]","[17, 161, 560, 648]","[10.709269809427996, 21.849786454354557, 27.1736504820758, 46.29463574681665]","[33.09179615985468, 0.8064820605364913, 1.5170805716195406, 0.9698673593011958]"
118,"[118, 118, 118, 118]","[17, 162, 562, 649]","[11.867034280163049, 21.656268800132864, 29.544422455314248, 43.956322811960604]","[33.32927720257814, 0.7705491149229196, 1.688660571042866, 1.134348910046124]"
119,"[119, 119, 119, 119]","[17, 162, 565, 648]","[11.596178182929847, 21.238322710577165, 32.31085260536986, 42.362990323950385]","[34.10278183656136, 0.7214921810583934, 2.590754893196332, 1.4103913428256967]"
120,"[120, 120]","[564, 647]","[35.78614278235489, 37.70461027001295]","[3.3532443151820663, 1.665064303420641]"
121,"[121, 121, 121]","[256, 564, 647]","[36.9681695545537, 37.16727954767771, 36.41359470951227]","[0.6620564840779296, 3.441811797182245, 1.7005204525853963]"
122,"[122, 122, 122]","[256, 564, 647]","[35.666506771218394, 38.013554186112856, 34.83094316579911]","[0.6781799023299964, 3.490739225943769, 1.7217765297298784]"
123,"[123, 123, 123]","[257, 565, 645]","[38.95258252202592, 48.21493306599075, 29.685517564544966]","[0.6906224780553358, 4.097521255545452, 2.20606335463772]"
